Title,Author,Book Type,Original Price,Discounted Price,ISBN-10,Published Date,Publisher,Number of Pages
Quite Ugly One Morning,Christopher Brookmyre,eBook,11.99,,None,None,None,None
Quite Ugly One Morning,Christopher Brookmyre,eBook,11.99,,None,None,None,None
Immortal in Death,J.D. Robb,eBook,11.99,,None,None,None,None
The Lost Sisters,Holly Black,eBook,,,None,None,None,None
Rivers of London,Ben Aaronovitch,eBook,11.99,,None,None,None,None
Village Christmas,Laurie Lee,eBook,14.99,,None,None,None,None
Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found
Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found
Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found
Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found,Book not found
Into the Fire,Gregg Hurwitz,eBook,15.99,,None,None,None,None
The Bracelet,Fredrica Alleyn,eBook,16.99,,None,None,None,None
White Teeth,Zadie Smith,eBook,15.99,,None,None,None,None
You Are the Placebo,Dr. Joe Dispenza,eBook,27.86,22.99,None,None,None,None
An Almost Perfect Christmas,Nina Stibbe,eBook,15.99,,None,None,None,None
An Almost Perfect Christmas,Nina Stibbe,eBook,15.99,,None,None,None,None
An Almost Perfect Christmas,Nina Stibbe,eBook,15.99,,None,None,None,None
An Almost Perfect Christmas,Nina Stibbe,eBook,15.99,,None,None,None,None
Books for Girls,Katrina Kahler,eBook,,,None,None,None,None
The Children's Block,Otto B Kraus,eBook,15.99,,None,None,None,None
1984,George Orwell,eBook,9.99,,None,None,None,None
Birds of Prey,Wilbur Smith,eBook,,,None,None,None,None
Caves of Steel,Isaac Asimov,eBook,13.19,10.99,None,None,None,None
Caves of Steel,Isaac Asimov,eBook,13.19,10.99,None,None,None,None
Caves of Steel,Isaac Asimov,eBook,13.19,10.99,None,None,None,None
Billy and Me,Giovanna Fletcher,eBook,15.99,,None,None,None,None
John,Michael Card,Paperback,37.07,,None,None,None,None
